Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Family
1,4.3,3,1.1,0.1,Iris-setosa,Iris
2,4.4,2.9,1.4,0.2,Iris-setosa,Iris
3,4.4,3,1.3,0.2,Iris-setosa,Iris
4,4.4,3.2,1.3,0.2,Iris-setosa,Iris
5,4.5,2.3,1.3,0.3,Iris-setosa,Iris
6,4.6,3.1,1.5,0.2,Iris-setosa,Iris
7,4.6,3.4,1.4,0.3,Iris-setosa,Iris
8,4.6,3.6,1,0.2,Iris-setosa,Iris
9,4.6,3.2,1.4,0.2,Iris-setosa,Iris
10,4.7,3.2,1.3,0.2,Iris-setosa,Iris
11,4.7,3.2,1.6,0.2,Iris-setosa,Iris
12,4.8,3.4,1.6,0.2,Iris-setosa,Iris
13,4.8,3,1.4,0.1,Iris-setosa,Iris
14,4.8,3.4,1.9,0.2,Iris-setosa,Iris
15,4.8,3.1,1.6,0.2,Iris-setosa,Iris
16,4.8,3,1.4,0.3,Iris-setosa,Iris
17,4.9,3,1.4,0.2,Iris-setosa,Iris
18,4.9,3.1,1.5,0.1,Iris-setosa,Iris
19,5,3.6,1.4,0.2,Iris-setosa,Iris
20,5,3.4,1.5,0.2,Iris-setosa,Iris
21,5,3,1.6,0.2,Iris-setosa,Iris
22,5,3.4,1.6,0.4,Iris-setosa,Iris
23,5,3.2,1.2,0.2,Iris-setosa,Iris
24,5,3.5,1.3,0.3,Iris-setosa,Iris
25,5,3.5,1.6,0.6,Iris-setosa,Iris
26,5,3.3,1.4,0.2,Iris-setosa,Iris
27,5.1,3.5,1.4,0.2,Iris-setosa,Iris
28,5.1,3.5,1.4,0.3,Iris-setosa,Iris
29,5.1,3.8,1.5,0.3,Iris-setosa,Iris
30,5.1,3.7,1.5,0.4,Iris-setosa,Iris
31,5.1,3.3,1.7,0.5,Iris-setosa,Iris
32,5.1,3.4,1.5,0.2,Iris-setosa,Iris
33,5.1,3.8,1.9,0.4,Iris-setosa,Iris
34,5.1,3.8,1.6,0.2,Iris-setosa,Iris
35,5.2,3.5,1.5,0.2,Iris-setosa,Iris
36,5.2,3.4,1.4,0.2,Iris-setosa,Iris
37,5.2,4.1,1.5,0.1,Iris-setosa,Iris
38,5.3,3.7,1.5,0.2,Iris-setosa,Iris
39,5.4,3.9,1.7,0.4,Iris-setosa,Iris
40,5.4,3.7,1.5,0.2,Iris-setosa,Iris
41,5.4,3.9,1.3,0.4,Iris-setosa,Iris
42,5.4,3.4,1.7,0.2,Iris-setosa,Iris
43,5.4,3.4,1.5,0.4,Iris-setosa,Iris
